                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  6.186,                 6.0398,                 5.6325,                      0,                      0,                      0,                      0,                      0,                 152.49,                      0,                0.09505,                  5e-05,                  5e-05
                      2,                 6.1629,                 4.6539,                 4.4977,                      0,                      0,                      0,                      0,                      0,                 496.66,                      0,                0.08911,             0.00010999,             0.00010999
                      3,                 5.6224,                 5.0575,                 3.9794,                      0,                      0,                      0,                      0,                      0,                 1363.4,                      0,                0.08317,             0.00016996,             0.00016996
                      4,                 5.2911,                  5.271,                 3.9832,                      0,                      0,                      0,                      0,                      0,                 1294.4,                      0,                0.07723,             0.00022987,             0.00022987
                      5,                 5.2165,                 4.8675,                 3.8534,                      0,                      0,                      0,                      0,                      0,                 1216.5,                      0,                0.07129,             0.00028971,             0.00028971
                      6,                 5.0011,                  4.503,                 3.7542,                      0,                      0,                      0,                      0,                      0,                 1128.1,                      0,               0.065349,             0.00034946,             0.00034946
                      7,                 5.3102,                 4.4205,                 3.5491,                      0,                      0,                      0,                      0,                      0,                  969.3,                      0,               0.059409,             0.00040909,             0.00040909
                      8,                 4.9098,                 4.5444,                 3.6712,                      0,                      0,                      0,                      0,                      0,                  969.3,                      0,               0.053469,             0.00046858,             0.00046858
                      9,                 4.9104,                 4.1259,                 3.3336,                      0,                      0,                      0,                      0,                      0,                 839.74,                      0,               0.047528,             0.00052791,             0.00052791
                     10,                 4.6927,                  4.193,                 3.4048,                      0,                      0,                      0,                      0,                      0,                 868.69,                      0,               0.041587,             0.00058706,             0.00058706
                     11,                 4.7779,                 4.1252,                 3.4072,                      0,                      0,                      0,                      0,                      0,                 868.69,                      0,               0.035646,               0.000646,               0.000646
                     12,                 4.9535,                 4.1524,                 3.4219,                      0,                      0,                      0,                      0,                      0,                 722.17,                      0,               0.029705,             0.00070471,             0.00070471
                     13,                 4.9777,                 4.0534,                 3.3351,                      0,                      0,                      0,                      0,                      0,                 722.17,                      0,               0.023763,             0.00076318,             0.00076318
                     14,                 4.7526,                 4.1112,                 3.5413,                      0,                      0,                      0,                      0,                      0,                 722.17,                      0,               0.017821,             0.00082138,             0.00082138
                     15,                 4.8292,                 4.0854,                 3.5131,                      0,                      0,                      0,                      0,                      0,                 565.18,                      0,               0.011879,             0.00087928,             0.00087928
                     16,                 4.8108,                  3.959,                 3.3132,                      0,                      0,                      0,                      0,                      0,                 565.18,                      0,              0.0059369,             0.00093688,             0.00093688
